timestamp,prediction,confidence,text_snippet
2026-04-08T19:05:34.160398,spam,74.6,500% off...
2026-04-08T19:06:59.613978,spam,77.04,500% off discount...
2026-04-08T19:08:56.689262,safe,86.59,ddfd...
2026-04-08T19:18:48.188660,safe,86.59,dfgh...
2026-04-08T19:19:50.510291,safe,86.59,fdfdfdf...
2026-04-08T19:26:22.570703,spam,59.69,Spam Sentinel API  0.1.0  OAS 3.1 /opena...
2026-04-08T19:29:06.537272,spam,74.6,500% off...
2026-04-08T19:34:58.680833,safe,86.59,dffg...
2026-04-08T19:35:10.962743,safe,86.59,dfg...
2026-04-08T19:43:13.266279,safe,81.95,hi dear user...
2026-04-08T19:43:55.739582,safe,69.74,🛡️ Spam Sentinel Analytics Dashboard →  ...
2026-04-08T19:44:03.767537,safe,69.74,🛡️ Spam Sentinel Analytics Dashboard →  ...
2026-04-08T19:44:10.291502,spam,68.25,Spam Sentinel API  0.1.0  OAS 3.1 /opena...
2026-04-08T19:44:10.509633,spam,68.25,Spam Sentinel API  0.1.0  OAS 3.1 /opena...
2026-04-08T19:44:24.390906,safe,88.68, Skip to content Using Gmail with screen...
2026-04-08T19:44:26.966932,safe,89.02, Skip to content Using Gmail with screen...
2026-04-08T19:44:35.186561,safe,74.67,Yes you heard it right!   Unstop is brin...
2026-04-08T19:48:48.945082,safe,74.67,Yes you heard it right!   Unstop is brin...
2026-04-08T19:49:38.215504,safe,74.67,Yes you heard it right!   Unstop is brin...
2026-04-08T19:49:38.246426,safe,74.67,Yes you heard it right!   Unstop is brin...
